family,genus,species,lme,fao,level,FB_E_Code,source,type.length,taxo,b,a
Merlucciidae,Merluccius,merluccius,21,27,species,NA,fb,TL,spe-LME,3,0.01
Merlucciidae,Merluccius,merluccius,20,27,species,NA,fb,TL,spe-LME,3,0.01
Somniosidae,Somniosus,microcephalus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Somniosidae,Somniosus,microcephalus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Psychrolutidae,Cottunculus,microps,20,27,species,NA,fb,TL,spe-LME,3,0.01
Psychrolutidae,Cottunculus,microps,22,27,species,NA,fb,TL,spe-LME,3,0.01
Psychrolutidae,Cottunculus,microps,21,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Careproctus,micropus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Careproctus,micropus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,Anarhichas,minor,20,27,species,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,Anarhichas,minor,22,27,species,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,Anarhichas,minor,21,27,species,NA,fb,TL,spe-LME,3,0.01
Gobiidae,Aphia,minuta,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gobiidae,Pomatoschistus,minutus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Trisopterus,minutus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Trisopterus,minutus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Trisopterus,minutus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Molva,molva,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Molva,molva,22,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Molva,molva,21,27,species,NA,fb,TL,spe-LME,3,0.01
Chimaeridae,Chimaera,monstrosa,22,27,species,NA,fb,TL,spe-LME,3,0.01
Chimaeridae,Chimaera,monstrosa,20,27,species,NA,fb,TL,spe-LME,3,0.01
Chimaeridae,Chimaera,monstrosa,21,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Liparis,montagui,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Raja,montagui,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Raja,montagui,21,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Raja,montagui,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Gadus,morhua,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Gadus,morhua,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Gadus,morhua,21,27,species,NA,fb,TL,spe-LME,3,0.01
Sternoptychidae,Maurolicus,muelleri,22,27,species,NA,fb,TL,spe-LME,3,0.01
Sternoptychidae,Maurolicus,muelleri,20,27,species,NA,fb,TL,spe-LME,3,0.01
Sternoptychidae,Maurolicus,muelleri,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycenchelys,muraena,22,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycenchelys,muraena,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycenchelys,muraena,21,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Triglops,murrayi,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Triglops,murrayi,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Triglops,murrayi,21,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Ciliata,mustela,20,27,species,NA,fb,TL,spe-LME,3,0.01
Triakidae,Mustelus,mustelus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Leucoraja,naevus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Lamnidae,Lamna,nasus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Dipturus,nidarosiensis,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Dipturus,nidarosiensis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Dipturus,nidarosiensis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Phrynorhombus,norvegicus,22,27,species,NA,fb,TL,spe-LME,3,0.01
